Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,GWG,S,S%,TOI/GP,FOW%
Alex Ovechkin,20052006,WSH,R,L,81,52,54,106,2,52,1.31,28,51,21,52,3,3,5,425,12.2,21:37,12.5
Alex Ovechkin,20062007,WSH,R,L,82,46,46,92,-19,52,1.12,30,55,16,37,0,0,8,392,11.7,21:23,47.1
Alex Ovechkin,20072008,WSH,R,L,82,65,47,112,28,40,1.37,43,75,22,37,0,0,11,446,14.6,22:55,38.9
Alex Ovechkin,20082009,WSH,R,L,79,56,54,110,8,72,1.39,36,63,19,46,1,1,10,528,10.6,23:00,25.0
Alex Ovechkin,20092010,WSH,R,L,72,50,59,109,45,89,1.51,37,73,13,36,0,0,7,368,13.6,21:48,45.5
Alex Ovechkin,20102011,WSH,R,L,79,32,53,85,24,41,1.08,25,61,7,24,0,0,11,367,8.7,21:22,33.3
Alex Ovechkin,20112012,WSH,R,L,78,38,27,65,-8,26,0.83,25,42,13,23,0,0,3,303,12.5,19:48,40.0
Alex Ovechkin,20122013,WSH,R,L,48,32,24,56,2,36,1.17,16,29,16,27,0,0,4,220,14.5,20:53,0.0
Alex Ovechkin,20132014,WSH,R,L,78,51,28,79,-35,48,1.01,27,39,24,39,0,1,10,386,13.2,20:33,66.7
Alex Ovechkin,20142015,WSH,R,L,81,53,28,81,10,58,1.00,28,47,25,34,0,0,11,395,13.4,20:20,40.0
Alex Ovechkin,20152016,WSH,R,L,79,50,21,71,21,53,0.90,31,47,19,24,0,0,8,398,12.6,20:19,--
Alex Ovechkin,20162017,WSH,R,L,82,33,36,69,6,50,0.84,16,43,17,26,0,0,7,313,10.5,18:22,0.0
Alex Ovechkin,20172018,WSH,R,L,82,49,38,87,3,32,1.06,32,56,17,31,0,0,7,355,13.8,20:09,37.5
Alex Ovechkin,20182019,WSH,R,L,81,51,38,89,7,40,1.10,33,61,18,28,0,0,5,338,15.1,20:55,20.0
Alex Ovechkin,20192020,WSH,R,L,48,31,16,47,-13,22,0.98,20,32,11,15,0,0,2,221,14.0,20:32,100.0
