Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,GWG,S,S%,TOI/GP,FOW%
Wayne Gretzky,19791980,EDM,L,C,79,51,86,137,14,21,1.73,37,100,13,35,1,2,6,284,18.0,--,--
Wayne Gretzky,19801981,EDM,L,C,80,55,109,164,41,28,2.05,36,104,15,53,4,7,3,261,21.1,--,--
Wayne Gretzky,19811982,EDM,L,C,80,92,120,212,80,26,2.65,68,147,18,57,6,8,12,370,24.9,--,--
Wayne Gretzky,19821983,EDM,L,C,80,71,125,196,61,59,2.45,47,132,18,54,6,10,9,348,20.4,--,--
Wayne Gretzky,19831984,EDM,L,C,74,87,118,205,78,39,2.77,55,135,20,47,12,23,11,326,26.7,--,--
Wayne Gretzky,19841985,EDM,L,C,80,73,135,208,100,52,2.60,54,146,8,44,11,18,7,354,20.6,--,--
Wayne Gretzky,19851986,EDM,L,C,80,52,163,215,71,46,2.69,38,143,11,54,3,18,6,350,14.9,--,--
Wayne Gretzky,19861987,EDM,L,C,79,62,121,183,69,28,2.32,42,124,13,46,7,13,4,288,21.5,--,--
Wayne Gretzky,19871988,EDM,L,C,64,40,109,149,39,24,2.33,26,91,9,49,5,9,3,211,19.0,--,--
Wayne Gretzky,19881989,LAK,L,C,78,54,114,168,15,26,2.15,38,100,11,53,5,15,5,303,17.8,--,--
Wayne Gretzky,19891990,LAK,L,C,73,40,102,142,8,42,1.95,26,96,10,40,4,6,4,236,16.9,--,--
Wayne Gretzky,19901991,LAK,L,C,78,41,122,163,30,16,2.09,33,103,8,59,0,1,5,212,19.3,--,--
Wayne Gretzky,19911992,LAK,L,C,74,31,90,121,-12,34,1.64,17,63,12,54,2,4,2,215,14.4,--,--
Wayne Gretzky,19921993,LAK,L,C,45,16,49,65,6,6,1.44,14,38,0,24,2,3,1,141,11.3,--,--
Wayne Gretzky,19931994,LAK,L,C,81,38,92,130,-25,20,1.60,20,62,14,61,4,7,0,233,16.3,--,--
Wayne Gretzky,19941995,LAK,L,C,48,11,37,48,-20,6,1.00,8,23,3,22,0,3,1,142,7.8,--,--
Wayne Gretzky,19951996,"LAK,STL",L,C,80,23,79,102,-13,34,1.27,16,54,6,47,1,1,3,195,11.8,--,--
Wayne Gretzky,19961997,NYR,L,C,82,25,72,97,12,28,1.18,19,65,6,31,0,1,2,286,8.7,--,--
Wayne Gretzky,19971998,NYR,L,C,82,23,67,90,-11,28,1.10,17,60,6,30,0,0,4,201,11.4,21:25,46.4
Wayne Gretzky,19981999,NYR,L,C,70,9,53,62,-23,14,0.89,6,32,3,30,0,0,3,132,6.8,21:04,52.0
